occurrence_id,original_identifier,original_reference_number,original_location,section,container,original_context,identity_title,identity_authors,identity_year,identity_doi,bibtex_key,entry_origin,old_bib_key,entry_sources,match_evidence,status,current_number,target_tex,target_line,compiler_resolved,pending_issue,evidence_urls,access_date,word_source,old_bib_path,word_reference_text
C001,[1],1,word/document.xml / body-4,1 Introduction,paragraph,"Audio-visual generalized zero-shot learning (AVGZSL) jointly exploits the visual and audio streams of a video and establishes associations between audio-visual representations and textual class semantics. The goal is to recognize unseen classes that are absent from training while retaining the ability to distinguish seen classes. Representative methods, including CJME [1], AVGZSLNet [2], AVCA [3], and ClipClap-GZSL [4], have attracted considerable attention in multimodal video understanding and demonstrated promising potential for unseen-class classification.",Coordinated Joint Multimodal Embeddings for Generalized Audio-Visual Zero-shot Classification and Retrieval of Videos,"Parida, Kranti Kumar and Matiyali, Neeraj and Guha, Tanaya and Sharma, Gaurav",2020,10.1109/WACV45572.2020.9093438,parida2020cjme,"old bib, verified against primary metadata",3,ref-01-crossref.json; ref-01-cvf.html,"Exact DOI metadata: title, authors and publication identity inspected.; Same title/authors/year; Word pagination independently confirmed.",identity_verified,1,source/sections/01-introduction.tex,9,True,,https://api.crossref.org/works/10.1109%2FWACV45572.2020.9093438; https://openaccess.thecvf.com/content_WACV_2020/html/Parida_Coordinated_Joint_Multimodal_Embeddings_for_Generalized_Audio-Visual_Zero-shot_Classification_and_WACV_2020_paper.html,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"PARIDA K K, MATIYALI N, GUHA T, et al. Coordinated joint multimodal embeddings for generalized audio-visual zero-shot classification and retrieval of videos In: Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV). 2020: 3251-3260."
C002,[2],2,word/document.xml / body-4,1 Introduction,paragraph,"Audio-visual generalized zero-shot learning (AVGZSL) jointly exploits the visual and audio streams of a video and establishes associations between audio-visual representations and textual class semantics. The goal is to recognize unseen classes that are absent from training while retaining the ability to distinguish seen classes. Representative methods, including CJME [1], AVGZSLNet [2], AVCA [3], and ClipClap-GZSL [4], have attracted considerable attention in multimodal video understanding and demonstrated promising potential for unseen-class classification.",AVGZSLNet: Audio-Visual Generalized Zero-Shot Learning by Reconstructing Label Features From Multi-Modal Embeddings,"Mazumder, Pratik and Singh, Pravendra and Parida, Kranti Kumar and Namboodiri, Vinay P.",2021,10.1109/WACV48630.2021.00313,mazumder2021avgzslnet,"old bib, verified against primary metadata",4,ref-02-crossref.json; ref-02-cvf.html,"Exact DOI metadata: title, authors and publication identity inspected.; Same title/authors/year; Word pagination independently confirmed.",identity_verified,2,source/sections/01-introduction.tex,9,True,,https://api.crossref.org/works/10.1109%2FWACV48630.2021.00313; https://openaccess.thecvf.com/content/WACV2021/html/Mazumder_AVGZSLNet_Audio-Visual_Generalized_Zero-Shot_Learning_by_Reconstructing_Label_Features_From_WACV_2021_paper.html,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"MAZUMDER P, SINGH P, PARIDA K K, et al. AVGZSLNet: audio-visual generalized zero-shot learning by reconstructing label features from multi-modal embeddings In: Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV). 2021: 3090-3099."
C003,[3],3,word/document.xml / body-4,1 Introduction,paragraph,"Audio-visual generalized zero-shot learning (AVGZSL) jointly exploits the visual and audio streams of a video and establishes associations between audio-visual representations and textual class semantics. The goal is to recognize unseen classes that are absent from training while retaining the ability to distinguish seen classes. Representative methods, including CJME [1], AVGZSLNet [2], AVCA [3], and ClipClap-GZSL [4], have attracted considerable attention in multimodal video understanding and demonstrated promising potential for unseen-class classification.",Audio-Visual Generalised Zero-Shot Learning With Cross-Modal Attention and Language,"Mercea, Otniel-Bogdan and Riesch, Lukas and Koepke, A. Sophia and Akata, Zeynep",2022,10.1109/CVPR52688.2022.01030,mercea2022avca,"old bib, verified against primary metadata",1,ref-03-crossref.json; ref-03-cvf.html,"Exact DOI metadata: title, authors and publication identity inspected.; Same title/authors/year; Word pagination independently confirmed.",identity_verified,3,source/sections/01-introduction.tex,9,True,,https://api.crossref.org/works/10.1109%2FCVPR52688.2022.01030; https://openaccess.thecvf.com/content/CVPR2022/html/Mercea_Audio-Visual_Generalised_Zero-Shot_Learning_With_Cross-Modal_Attention_and_Language_CVPR_2022_paper.html,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"MERCEA O B, RIESCH L, KOEPKE A S, et al. Audio-visual generalised zero-shot learning with cross-modal attention and language In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR). 2022: 10553-10563."
C004,[4],4,word/document.xml / body-4,1 Introduction,paragraph,"Audio-visual generalized zero-shot learning (AVGZSL) jointly exploits the visual and audio streams of a video and establishes associations between audio-visual representations and textual class semantics. The goal is to recognize unseen classes that are absent from training while retaining the ability to distinguish seen classes. Representative methods, including CJME [1], AVGZSLNet [2], AVCA [3], and ClipClap-GZSL [4], have attracted considerable attention in multimodal video understanding and demonstrated promising potential for unseen-class classification.",Audio-Visual Generalized Zero-Shot Learning using Pre-Trained Large Multi-Modal Models,"Kurzend\""{o}rfer, David and Mercea, Otniel-Bogdan and Koepke, A. Sophia and Akata, Zeynep",2024,10.1109/CVPRW63382.2024.00269,kurzendorfer2024clipclap,"old bib, verified against primary metadata",2,ref-04-crossref.json,"Exact DOI metadata: title, authors and publication identity inspected.",identity_verified,4,source/sections/01-introduction.tex,9,True,,https://api.crossref.org/works/10.1109%2FCVPRW63382.2024.00269,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"KURZENDÖRFER D, MERCEA O B, KOEPKE A S, et al. Audio-visual generalized zero-shot learning using pre-trained large multi-modal models In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW). 2024: 2627-2638."
C005,[5],5,word/document.xml / body-5,1 Introduction,paragraph,"Most existing methods follow an “encode first, match later” paradigm. They first extract visual and audio features using pre-trained models, encode these features into class-agnostic global representations with temporal Transformers (Fig. 1(a)) [5] or cross-attention mechanisms (Fig. 1(b)) [3], and finally align the resulting representations with class label embeddings in a joint embedding space. However, this paradigm has three limitations. First, class semantics participate only in the final matching stage. Critical actions and sounds often occupy only a small portion of a long video, whereas class-irrelevant backgrounds, silence, and redundant movements dilute the discriminative evidence during uniform pooling. Second, although class label embeddings encode semantic relationships, they are not optimized for the target classification task. Closely situated class embeddings of similar classes consequently produce ambiguous decision boundaries. Third, audio and visual features are often concatenated directly or combined using a fixed fusion scheme. When the modalities are weakly correlated or one is noisy, irrelevant information can interfere across modalities and induce modality bias toward seen classes.",Temporal and Cross-modal Attention for Audio-Visual Zero-Shot Learning,"Mercea, Otniel-Bogdan and Hummel, Thomas and Koepke, A. Sophia and Akata, Zeynep",2022,10.1007/978-3-031-20044-1_28,mercea2022tcaf,"old bib, verified against primary metadata",5,ref-05-crossref.json,"Exact DOI metadata: title, authors and publication identity inspected.",identity_verified,5,source/sections/01-introduction.tex,12,True,,https://api.crossref.org/works/10.1007%2F978-3-031-20044-1_28,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"MERCEA O B, HUMMEL T, KOEPKE A S, et al. Temporal and cross-modal attention for audio-visual zero-shot learning In: Proceedings of the European Conference on Computer Vision (ECCV). 2022: 488-505."
C006,[3],3,word/document.xml / body-5,1 Introduction,paragraph,"Most existing methods follow an “encode first, match later” paradigm. They first extract visual and audio features using pre-trained models, encode these features into class-agnostic global representations with temporal Transformers (Fig. 1(a)) [5] or cross-attention mechanisms (Fig. 1(b)) [3], and finally align the resulting representations with class label embeddings in a joint embedding space. However, this paradigm has three limitations. First, class semantics participate only in the final matching stage. Critical actions and sounds often occupy only a small portion of a long video, whereas class-irrelevant backgrounds, silence, and redundant movements dilute the discriminative evidence during uniform pooling. Second, although class label embeddings encode semantic relationships, they are not optimized for the target classification task. Closely situated class embeddings of similar classes consequently produce ambiguous decision boundaries. Third, audio and visual features are often concatenated directly or combined using a fixed fusion scheme. When the modalities are weakly correlated or one is noisy, irrelevant information can interfere across modalities and induce modality bias toward seen classes.",Audio-Visual Generalised Zero-Shot Learning With Cross-Modal Attention and Language,"Mercea, Otniel-Bogdan and Riesch, Lukas and Koepke, A. Sophia and Akata, Zeynep",2022,10.1109/CVPR52688.2022.01030,mercea2022avca,"old bib, verified against primary metadata",1,ref-03-crossref.json; ref-03-cvf.html,"Exact DOI metadata: title, authors and publication identity inspected.; Same title/authors/year; Word pagination independently confirmed.",identity_verified,3,source/sections/01-introduction.tex,12,True,,https://api.crossref.org/works/10.1109%2FCVPR52688.2022.01030; https://openaccess.thecvf.com/content/CVPR2022/html/Mercea_Audio-Visual_Generalised_Zero-Shot_Learning_With_Cross-Modal_Attention_and_Language_CVPR_2022_paper.html,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"MERCEA O B, RIESCH L, KOEPKE A S, et al. Audio-visual generalised zero-shot learning with cross-modal attention and language In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR). 2022: 10553-10563."
C007,[1],1,word/document.xml / body-16,2.1 Audio-Visual Generalized Zero-Shot Learning,paragraph,"The central objective of AVGZSL is to transfer audio-visual knowledge from seen to unseen classes through class semantics. To bridge the modality gap between audio-visual observations and text, Parida et al. [1] construct a shared embedding space in CJME, while Mazumder et al. [2] introduce label-feature reconstruction in AVGZSLNet. These approaches strengthen cross-modal correspondence through geometric alignment and semantic preservation, respectively. To address the limited information in class names and the restricted expressiveness of feature representations, Chen et al. [6] generate fine-grained descriptions using large language models and adjust training margins according to semantic similarity. Kurzendörfer et al. [4] combine pre-trained CLIP and CLAP features with two class label embeddings to improve alignment between audio-visual and textual representations. In addition to richer semantic content, class separability also affects recognition. Mo and Morgado [7] jointly optimize class separability and semantic preservation in EZ-AVGZL and use the optimized class embeddings to query audio-visual features and compute non-linear similarity scores.",Coordinated Joint Multimodal Embeddings for Generalized Audio-Visual Zero-shot Classification and Retrieval of Videos,"Parida, Kranti Kumar and Matiyali, Neeraj and Guha, Tanaya and Sharma, Gaurav",2020,10.1109/WACV45572.2020.9093438,parida2020cjme,"old bib, verified against primary metadata",3,ref-01-crossref.json; ref-01-cvf.html,"Exact DOI metadata: title, authors and publication identity inspected.; Same title/authors/year; Word pagination independently confirmed.",identity_verified,1,source/sections/02-related-work.tex,10,True,,https://api.crossref.org/works/10.1109%2FWACV45572.2020.9093438; https://openaccess.thecvf.com/content_WACV_2020/html/Parida_Coordinated_Joint_Multimodal_Embeddings_for_Generalized_Audio-Visual_Zero-shot_Classification_and_WACV_2020_paper.html,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"PARIDA K K, MATIYALI N, GUHA T, et al. Coordinated joint multimodal embeddings for generalized audio-visual zero-shot classification and retrieval of videos In: Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV). 2020: 3251-3260."
C008,[2],2,word/document.xml / body-16,2.1 Audio-Visual Generalized Zero-Shot Learning,paragraph,"The central objective of AVGZSL is to transfer audio-visual knowledge from seen to unseen classes through class semantics. To bridge the modality gap between audio-visual observations and text, Parida et al. [1] construct a shared embedding space in CJME, while Mazumder et al. [2] introduce label-feature reconstruction in AVGZSLNet. These approaches strengthen cross-modal correspondence through geometric alignment and semantic preservation, respectively. To address the limited information in class names and the restricted expressiveness of feature representations, Chen et al. [6] generate fine-grained descriptions using large language models and adjust training margins according to semantic similarity. Kurzendörfer et al. [4] combine pre-trained CLIP and CLAP features with two class label embeddings to improve alignment between audio-visual and textual representations. In addition to richer semantic content, class separability also affects recognition. Mo and Morgado [7] jointly optimize class separability and semantic preservation in EZ-AVGZL and use the optimized class embeddings to query audio-visual features and compute non-linear similarity scores.",AVGZSLNet: Audio-Visual Generalized Zero-Shot Learning by Reconstructing Label Features From Multi-Modal Embeddings,"Mazumder, Pratik and Singh, Pravendra and Parida, Kranti Kumar and Namboodiri, Vinay P.",2021,10.1109/WACV48630.2021.00313,mazumder2021avgzslnet,"old bib, verified against primary metadata",4,ref-02-crossref.json; ref-02-cvf.html,"Exact DOI metadata: title, authors and publication identity inspected.; Same title/authors/year; Word pagination independently confirmed.",identity_verified,2,source/sections/02-related-work.tex,10,True,,https://api.crossref.org/works/10.1109%2FWACV48630.2021.00313; https://openaccess.thecvf.com/content/WACV2021/html/Mazumder_AVGZSLNet_Audio-Visual_Generalized_Zero-Shot_Learning_by_Reconstructing_Label_Features_From_WACV_2021_paper.html,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"MAZUMDER P, SINGH P, PARIDA K K, et al. AVGZSLNet: audio-visual generalized zero-shot learning by reconstructing label features from multi-modal embeddings In: Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV). 2021: 3090-3099."
C009,[6],6,word/document.xml / body-16,2.1 Audio-Visual Generalized Zero-Shot Learning,paragraph,"The central objective of AVGZSL is to transfer audio-visual knowledge from seen to unseen classes through class semantics. To bridge the modality gap between audio-visual observations and text, Parida et al. [1] construct a shared embedding space in CJME, while Mazumder et al. [2] introduce label-feature reconstruction in AVGZSLNet. These approaches strengthen cross-modal correspondence through geometric alignment and semantic preservation, respectively. To address the limited information in class names and the restricted expressiveness of feature representations, Chen et al. [6] generate fine-grained descriptions using large language models and adjust training margins according to semantic similarity. Kurzendörfer et al. [4] combine pre-trained CLIP and CLAP features with two class label embeddings to improve alignment between audio-visual and textual representations. In addition to richer semantic content, class separability also affects recognition. Mo and Morgado [7] jointly optimize class separability and semantic preservation in EZ-AVGZL and use the optimized class embeddings to query audio-visual features and compute non-linear similarity scores.",Boosting Audio-visual Zero-shot Learning with Large Language Models,"Chen, Haoxing and Li, Yaohui and Hong, Yan and Huang, Zizheng and Xu, Zhuoer and Gu, Zhangxuan and Lan, Jun and Zhu, Huijia and Wang, Weiqiang",2023,10.48550/arXiv.2311.12268,chen2023kda,"old bib, verified against primary metadata",9,ref-06-arxiv.html,"Full authors, original date, v2 date and arXiv identity.",identity_verified,6,source/sections/02-related-work.tex,10,True,,https://arxiv.org/abs/2311.12268v2,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"CHEN H, LI Y, HONG Y, et al. Boosting audio-visual zero-shot learning with large language models. arXiv:2311.12268, 2023 (v2, 2024). DOI: 10.48550/arXiv.2311.12268."
C010,[4],4,word/document.xml / body-16,2.1 Audio-Visual Generalized Zero-Shot Learning,paragraph,"The central objective of AVGZSL is to transfer audio-visual knowledge from seen to unseen classes through class semantics. To bridge the modality gap between audio-visual observations and text, Parida et al. [1] construct a shared embedding space in CJME, while Mazumder et al. [2] introduce label-feature reconstruction in AVGZSLNet. These approaches strengthen cross-modal correspondence through geometric alignment and semantic preservation, respectively. To address the limited information in class names and the restricted expressiveness of feature representations, Chen et al. [6] generate fine-grained descriptions using large language models and adjust training margins according to semantic similarity. Kurzendörfer et al. [4] combine pre-trained CLIP and CLAP features with two class label embeddings to improve alignment between audio-visual and textual representations. In addition to richer semantic content, class separability also affects recognition. Mo and Morgado [7] jointly optimize class separability and semantic preservation in EZ-AVGZL and use the optimized class embeddings to query audio-visual features and compute non-linear similarity scores.",Audio-Visual Generalized Zero-Shot Learning using Pre-Trained Large Multi-Modal Models,"Kurzend\""{o}rfer, David and Mercea, Otniel-Bogdan and Koepke, A. Sophia and Akata, Zeynep",2024,10.1109/CVPRW63382.2024.00269,kurzendorfer2024clipclap,"old bib, verified against primary metadata",2,ref-04-crossref.json,"Exact DOI metadata: title, authors and publication identity inspected.",identity_verified,4,source/sections/02-related-work.tex,10,True,,https://api.crossref.org/works/10.1109%2FCVPRW63382.2024.00269,2026-09-23,C:\Users\admin\Documents\GitHub\WH\论文方案\SGTG_English_Translation.docx,C:\Users\admin\Documents\GitHub\WH\论文方案\KA_GZSL_TMM\sec\references.bib,"KURZENDÖRFER D, MERCEA O B, KOEPKE A S, et al. Audio-visual generalized zero-shot learning using pre-trained large multi-modal models In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW). 2024: 2627-2638."
